Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22010220,219527,PO002874,10,BOX
M231,Black Duct Tape 48x50m (Builders Tape),Etag UK,PL,PINV,22010220,219527,PO002874,10,EA
M231,Hoover bags for Makita VC3511L,Etag UK,PL,PINV,22010220,219527,PO002874,3,PK
M231,Makita 110V M-class Dust Extractor 42L c/w Po,Etag UK,PL,PINV,22010220,219527,PO002874,1,EA
M231,Blade Reciprocating 260mm long (5),Etag UK,PL,PINV,22010336,219773,PO002460,10,PK
M231,Blade LC1230 305mm Makita,Etag UK,PL,PINV,22010337,219789,PO002906,2,EA
M231,Holesaw 44mm,Etag UK,PL,PINV,22010337,219789,PO002906,10,EA
M231,Sausage Combi Gun 600mm,Etag UK,PL,PINV,22010337,219789,PO002906,10,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22020027,220299,PO002924,1000,EA
M231,Multitool blades 64mm,Etag UK,PL,PINV,22020029,220305,PO002950,20,EA
m231,Sympafix pin C70-40-HD for GT/C70 and GT4C (7,Etag UK,PL,PINV,22020030,220285,PO002805,10,BOX
m231,Novia Butyl Tape 30mmx30m Double Sided,Encon Insulation Ltd - 1064,PL,PINV,22020059,53SI/445975,PO002851,100,EA
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22020035,220586,PO002987,5,BOX
m231,Sympafix pin C70-40 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020035,220586,PO002987,10,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020035,220586,PO002987,10,BOX
M231,Brush Platform c/w Handle,Etag UK,PL,PINV,22020035,220586,PO002987,5,EA
M231,Sympafix Nail GUN GT/C70,Etag UK,PL,PINV,22020035,220586,PO002987,2,EA
M231,Ceiling Anchor 6x40 (Sympafix) (100),Etag UK,PL,PINV,22020167,220581,PO002973,60,PK
M231,Paint Line Marker Yellow,ADA Fast Fix,PL,PINV,22020017,649025,PO002976,30,EA
M231,Armorgard LoadAll Board Trolley LA750 PRO,Etag UK,PL,PINV,22020076,220782,PO002915,2,EA
M231,"Armorgard Spare 6"" Super Heavy Duty Castor Ki",Etag UK,PL,PINV,22020076,220782,PO002915,2,PK
M231,Holesaw 44mm,Etag UK,PL,PINV,22020082,220749,PO003009,9,EA
M231,Blade 165mm circular saw Makita,Etag UK,PL,PINV,22020082,220749,PO003009,3,EA
M231,Holesaw Arbor 32mm-152mm,Etag UK,PL,PINV,22020082,220749,PO003009,4,EA
M231,Flame retardant polythene 1000 gauge 25x4m,Selkent Fastenings Ltd,PL,PINV,22020154,291426,PO003027,2,EA
M231,,Etag UK,PL,PCRN,22020184,7130,,0,
M231,Holesaw 44mm,Etag UK,PL,PINV,22020159,220959,PO003009,1,EA
M231,Holesaw Arbor 32mm-152mm,Etag UK,PL,PINV,22020159,220959,PO003009,6,EA
m231,Sympafix pin C70-50-HD for GT/C70 and GT4C (7,Etag UK,PL,PINV,22020160,220963,PO003024,15,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22020160,220963,PO003024,5,BOX
M231,Sympafix GT4C gun,Etag UK,PL,PINV,22020160,220963,PO003024,1,EA
M231,"Armorgard Spare 6"" Super Heavy Duty Castor Ki",Etag UK,PL,PINV,22020160,220963,PO003024,2,PK
m231,Delivery Charge,Flashbay Ltd,PL,PINV,22020165,IN1178977,PO003065,1,EA
M231,Stock Usage Jan 22,,PL,INT,,,,0,
M231,Stock Usage Jan 22,,PL,INT,,,,0,
M231,Stock Usage Jan 22,,PL,INT,,,,0,
